Company Name,Brand,Website,Linkedin Intro
SPARC Technologies,Pudu,sparcglobaltech.com,"At SPARC, our expertise lies in robotics, technology, and advanced systems designed to support and elevate businesses to new heights. Established in 2021 in Ontario, Canada, we began our journey as a distributor and support partner for Pudu Robotics. Our primary focus is working closely with clients to enhance their businesses, reduce costs, and develop customized programs that turn their visions into reality."
ALBA Robot,Pudu,albarobotics.com,
Almex GmbH,Pudu,almex.de,
Apax Engineering,Pudu,apaxengineering.com,
ATECRESA,Pudu,canariasrobots.com,
ATP Yaz?l?m ve Teknoloji A.?.,Pudu,atptech.com,
Autorobotics,Pudu,autorobotics.io,
Canarias Robotics,Pudu,canariasrobotics.es,
Cleanatic (Thailand) Co. Ltd.,Pudu,cleanatic.com,
C1 SMART? Technologies,Pudu,coreoneoffice.com,
MSC Cyberport,Pudu,cyberport.com.my,
CYBERSUR INFORMATICA SL.,Pudu,cybersur.es,
Diamond Iberica,Pudu,diamondiberica.eu,
EnergieReich Consulting GmbH,Pudu,energiereich-consulting.com/,"Grow Your Resources - Innovations to achieve goals Robotik und High-Tech für Wachstum und Zukunftsf?higkeit. Einfach zu bedienende Technik, leistungsstarke Unterstützung und die Chance, dem Fachkr?ftemangel entgegenzuwirken."
Enyepa Engineering,Pudu,enyeparobotics.com,
ERDEBOT,Pudu,erdebot.fr,
ERM (Environmental Resources Management),Pudu,erm.ms,
EVENTFITTERY,Pudu,eventfittery.de,"Bei uns finden Sie alles, was Sie ben?tigen, um Ihr Event und/oder Gastronomie anst?ndig in Szene zu setzen. Ans?ssig ist unser Unternehmen im sch?nen Osterr?nfeld, gelegen im hohen Norden Deutschlands. Von hier aus kümmert sich unser kompetentes Team t?glich mit viel Freude, einer gro?en Portion Engagement und reichlich Sorgfalt um Sie, unsere Kunden."
Effedi Automation,Pudu,fdautomation.it,
FENKA Robotics,Pudu,fenka.de,
FieldBots,Pudu,fieldbots.com,
Fobotics,Pudu,fobotics.de,
Fulin Robots,Pudu,fulinrobots.nl,
G2 Green Technologies,Pudu,g2green.es,
GAUL Reinigungs- und Industrietechnik,Pudu,gaul-rit.net,
GBM,Pudu,gbmsystem.it,
Giobotics,Pudu,giobotics.de,
Goldstone Solutions Sdn Bhd,Pudu,goldstone.com.my,
Groupe PLG,Pudu,groupeplg.com,
Riel,Pudu,grupporiel.it,
GW Robotics,Pudu,gwrobotics.co.uk,
Hako Vi?t Nam,Pudu,hakovietnam.com,
禾達工業科技,Pudu,herdartech.com,
HoST,Pudu,host.sg,
ICIT-Software Srl,Pudu,icit-software.com,
Intelligent Factory Sdn. Bhd.,Pudu,ifact.com.my,
IMEC Hygiene Sdn Bhd,Pudu,imec.com.my,
Pudu Robotics,Pudu,ims.com.my,
Intec Robots,Pudu,intecrobots.com,
Intercar Group,Pudu,intercargroup.eu,
Janitor,Pudu,janitor.pl,
Pudu Robotics,Pudu,jobotto.fr,
Kawan Lama Group,Pudu,kawanlamagroup.com,
Kemcomm,Pudu,kemcomm.it,
Sorbus,Pudu,kosiarkaautomatyczna.eu,
LDR Automationsservice AB,Pudu,ldrab.se,
Lean Robotics,Pudu,leanrobot.eu,
Leobotics,Pudu,leobotics.com,
Pudu Robotics,Pudu,log-robot.com,
Lolatek Technology Inc.,Pudu,lolatek.com.tw,
Mission20 Zero,Pudu,m20zero.com,
Madrid Robotics,Pudu,madridrobotics.com,
Megaprint Canarias,Pudu,megaprintcanarias.com,
Metro Solutions,Pudu,metrosolutions.ie,
Blue Robotics,Pudu,misterblue.at,
Groupe Monnet,Pudu,monnet-materiel-nettoyage.fr,
Multicom,Pudu,multicom.com.tr,
Muzybar Robotics,Pudu,muzybarrobotics.es,
My Robot Company Ltd.,Pudu,myrobot.asia,
MySolutions Inc.,Pudu,mysolutions.com.ph,
New Generation Hotelier,Pudu,newgenerationhotelier.com,
Nova Robots,Pudu,novarobots.es,
Noxon,Pudu,noxon.at,
Nviro,Pudu,nviro.co.uk,
GROUPE PLG,Pudu,oceade-bretagne.bzh,
Pudu Robotics,Pudu,officewarehouse.com.ph,
One Stop Cleaning Shop,Pudu,onestopcleaningshop.co.uk,
Ourglass,Pudu,ourglass.com.sg,
Pigs Informatique,Pudu,pigs-informatique.be,
Delora Technology,Pudu,project15672956.tilda.ws,
PromaxShop,Pudu,promaxshop.vn,
Purozo Ltd,Pudu,purozo.co.uk,
ROBify,Pudu,robify.at,
Robloc,Pudu,robloc.fr,
ROBOPLANET,Pudu,robo-planet.de/,"Robotik für Unternehmen: ROBOPLANET steht für Innovation, Qualit?t und nachhaltigen Mehrwert. Unsere Mission ist es, die Leistungen im Bereich Reinigung und Service in Ihrem Betrieb auf das n?chste Level zu heben."
Roboservice,Pudu,roboservice.be,
RoboSolutions,Pudu,robosolutions.ie,
Pudu Robotics,Pudu,robotdelimpieza.com,
Roboterly GmbH,Pudu,roboterly.com,
ALMEX GmbH,Pudu,robotics-almex.de,
Telmekom Robotics,Pudu,robotics.telmekom.com,
Robotics Norden AS,Pudu,roboticsnorden.com,
Robotplace,Pudu,robotplace.io,
Roboworld,Pudu,roboworld.com.vn,
SantralMarket,Pudu,santralmarket.net,
Schmachtl GmbH,Pudu,schmachtl.at,
Sebotics,Pudu,sebotics.com/,"Unser Ziel ist es, das Leben der Menschen mit Robotertechnik nachhaltig zu erleichtern. So sollen Dienstleister, Servicefachkr?fte usw. wieder Zeit für den Kunden haben - der Roboter erledigt den Rest."
Pudu Robotics,Pudu,service-roboter.org,
ServiceBots,Pudu,servicebots.ie,
SGR (Smith Gambrell Russell),Pudu,sgrbot.com,
Pudu Robotics,Pudu,sharptextcork.ie,
Fenka,Pudu,shop.fenka.de,
Sinergia Media Labs (Simelabs),Pudu,sinergiarobotics.com,
Solore,Pudu,solore.pl,
Solstice AV,Pudu,solsticeav.com,
SPARK Robotics,Pudu,spark-robotics.com,
SPARK EPoS,Pudu,sparkepos.com,
Switch Bowling,Pudu,switchbowling.fr,
Pudu Robotics,Pudu,tekmarkgroup.com,
telmekom,Pudu,telmekom.com/,"Telmekom Networks bietet seinen Kunden hochwertige Konnektivit?tsl?sungen. Wir zeichnen uns durch Kompetenz, Dynamik und Flexibilit?t aus – Eigenschaften, die es uns erm?glichen, einen einzigartigen und umfangreichen Service für alle Kommunikationszwecke zu bieten."
Terra Robotics,Pudu,terra-robotics.de,Entdecken Sie die Zukunft der Automatisierung mit unseren intelligenten Roboterl?sungen!
Tidy Green Clean,Pudu,tidygreenclean.co.uk,
Somos Inc.,Pudu,tienda.esomos.com,
Pudu Robotics,Pudu,toxxic.pl,
Tung Viet Communication Co. Ltd.,Pudu,tungviet.tech,
Pudu Robotics,Pudu,tuttoperlalogistica.it,
Unify Energy Solutions,Pudu,unifyenergy.vn,
VHIT Robotics,Pudu,vhitrobotics.com,
VIETPACK MACHINERY GROUP,Pudu,vietpackmachinery.com,
VN Robotics,Pudu,vnrobotics.vn,
WIONGO Robotics,Pudu,wiongorobotics.com,
WTH AUTO SYSTEMS COMPANY LIMITED,Pudu,wthautosystems.com,
Xtrike Robotics Sdn Bhd,Pudu,xtrikerobotic.com,
Leobotics,Pudu,zh-cn.leobotics.com,
福泰益自動化設備股份有限公司,Gausium,1207367084015.tw66.com.tw,
志泰國際股份有限公司,Gausium,24464606.jetbean.com.tw,
Abeco Holland B.V.,Gausium,abecoholland.nl,"Uw handelsonderneming voor schoonmaakmiddelen, -materialen en -machines, toiletpapier, handzepen, plastic bekers. Als onafhankelijke dealer wordt advies op maat gegeven door onze verkoopadviseurs, waarbij uw wensen, behoeftes en budget centraal staan."
Global Net,Gausium,about.globalnet.be,
ACCECIT,Gausium,accecit.com,
PT Adhya Graha Kencana,Gausium,adhyagrahakencana.com,"AGK provides a comprehensive wide range of products to the profesional cleaning industry. From Janitorial Tools, Vacuum Cleaners, Polisher, Scrubber Dryers, and Chemicals. We use a better technology to have a maximal result in cleaning. Brand: Klenco Indonesia, Tennant Indonesia, Duplex Machine, Sebo, Ikari Japan, and I-MOP Indonesia"
AITEC Corporation,Gausium,aitecrobotics.com,
ALBIS,Gausium,albis.net,
Almex System Technology Asia Sdn. Bhd.,Gausium,almex-sta.com,
Alpheios,Gausium,alpheios.be,"Altijd een schone vloer – zonder extra personeel? Ontdek hoe onze autonome vloerreinigingsrobot jouw team ondersteunt en zorgt voor een consistente, schone vloer – elke dag weer."
SoftBank Robotics,Gausium,apac.softbankrobotics.com,
Arlaco Limited,Gausium,arlaco.ie,"Arlaco Limited is an Irish provider of contract cleaning services. We utilize a wide range of cleaning equipment, from traditional scrubber dryers and sweepers to our newest addition: cutting-edge, AI-powered cleaning robots."
AUSTROWIT KG,Gausium,austrowit.com,
Beese Reinigungsmaschinen,Gausium,beeseshop.de,
BotBase,Gausium,bot-base.com,
Bunzl Cleaning & Hygiene Supplies,Gausium,bunzlchs.com,
Ceva Multiline S.r.l.,Gausium,cevamultiline.it,
Columbus Temizlik Makineleri,Gausium,columbus.com.tr,
DDV Systems,Gausium,ddv-systems.be,"DDV Systems is uw adviseur en leverancier voor oproepsystemen, communicatiesystemen en robots. Met onze 8 jaar aan ervaring kunnen we u de beste oplossing voorstellen voor uw applicatie."
Dibosch,Gausium,dibosch.com,
Doseer,Gausium,doseer.nl,
Drim Robotics,Gausium,drimrobotics.eu,"Drim Robotics is a control integrator. We are designing and developing systems for automated control of industrial machines, production lines, process environments and other automated appliances."
Dussmann Group,Gausium,dussmann.pl,"Dussmann is a solution partner in the areas of facility management, food services and technical plant construction."
Fortech,Gausium,e-fortech.pl,
Elite VDP Company Limited,Gausium,elite-vdp.com,"Elite VDP - ""Most Advanced Integrated Hygiene Solutions Provider"""
Leobotics,Gausium,en.leobotics.com,
Facilibot,Gausium,facilibot.com,
Facility Trade Group,Gausium,facilitytradegroup.nl,"Facility Trade Group is een onafhankelijke facilitaire groothandel op het gebied van non-food horeca producten, reinigingssystemen en -machines en hygi?ne voorzieningen."
FairPlay Sports Media,Gausium,fairplayplus.pl,"Fair Play Plus to lider na rynku dystrybucji urz?dzeń i ?rodków czysto?ci. Zapewnia kompleksowe zaopatrzenie firm sprz?taj?cych, zak?adów produkcyjnych, us?ugowych, hoteli, szkó?, biur itp."
Faro Carrelli Elevatori S.p.A.,Gausium,farocarrelli.com,"FARO carrelli elevatori, nasce nel 1974, e da oltre 45 anni si occupa del commercio di carrelli elevatori e attrezzature per la logistica. Durante questo percorso FARO carrelli elevatori ha sempre rappresentato il marchio premium LINDE, leader europeo nella costruzione di carrelli elevatori."
Gausium,Gausium,gausium.tr,
Glanaco Limited,Gausium,glanaco.ie,
Haaga veegmachines,Gausium,haagaveegmachines.nl,
Haagclean Products B.V.,Gausium,haagclean.nl,
haid-tec geprüfte Oberfl?chentechnik GmbH,Gausium,haid-tec.com,
Heromatics,Gausium,heromatics.be,Heromatics: Slimme reinigingsrobots voor professionele toepassingen ?? Heromatics is een Belgische onderneming gespecialiseerd in autonome reinigingsrobots die bedrijven helpen hun schoonmaakprocessen te automatiseren en te optimaliseren.
Hoan My Hotel Equipment Supply Company Limited,Gausium,hoanmyhotelsupply.com,
Khosivesinh.Com,Gausium,khosivesinh.com,
Komag Reinigungstechnik Südtirol,Gausium,komag.it,"Bodenreinigungsmaschine, Bodenreinigungsmaschinen, Zentralstaubsauger, Industriestaubsauger, Industriezentralstaubsauger, Waschmittel, Reinigungsmittel, Dosieranlagen, Kundenservice"
Le Hoang Robotics,Gausium,lehoangrobotics.com,
Meprolim,Gausium,meprolim.es,"Cavas Catalanas, MEPROLIM, desde 1969, comercializa sistemas para que el cliente con un solo proveedor pueda atender todas sus necesidades de limpieza."
Nordic Robotic Group,Gausium,nordicroboticgroup.com,We drive the autonomous transformation and empower businesses to work together with high tech robotic solutions.
RAAS PAL,Gausium,raaspal.com,Raas Pal provides powerful integration between the Robotics and AIoT system to make the robots work more efficiently with more data. The integration of the AIoT platform will enable the robot work autonomously with your business logics to achieve minimal human intervention.
HOLACO Robotics,Gausium,roboticsvietnam.org,
Smart Servant,Gausium,smartservant.nl,Smart Servant is dé specialist op het gebied van schoonmaak- en delivery robots voor de hospitality- en leisuresector. Bij ons staat de mens voorop ondersteund door innovatie.
UAS Engineering Pte. Ltd.,Gausium,uas-eng.com,
